cluster_id,centroid_lat,centroid_lon,nearest_osm_feature,distance_to_osm_m,nearest_osm_lat,nearest_osm_lon,osm_count_within_5km
-1,23.85677,80.66129,Unnamed industrial feature,17563.08,23.9074056,80.8249113,0
-1,23.85892,80.65944,Unnamed industrial feature,17666.8,23.9074056,80.8249113,0
-1,23.86744,80.4409,Unnamed industrial feature,5204.47,23.897999,80.4021281,0
-1,23.97638,80.41862,Unnamed industrial feature,3884.97,23.9752435,80.4568374,1
-1,19.98172,81.63075,Unnamed industrial feature,52049.81,19.8125433,81.1665872,0
-1,21.43275,81.1954,Unnamed industrial feature,9987.41,21.5142748,81.2359101,0
-1,21.47092,81.21314,Unnamed industrial feature,5365.68,21.5142748,81.2359101,0
-1,21.61827,81.12149,Unnamed industrial feature,13200.01,21.5259311,81.201713,0
-1,21.6623,81.43108,Tenga Bhaat Daar Gaon,18868.87,21.4932534,81.4151825,0
-1,21.74571,81.90012,Unnamed industrial feature,14277.28,21.6429282,81.9829416,0
-1,21.82029,81.53709,Unnamed industrial feature,15544.52,21.917973,81.6448483,0
-1,21.85134,81.63497,Unnamed industrial feature,7479.03,21.917973,81.6448483,0
-1,22.09709,81.64272,Unnamed industrial feature,18971.03,21.9266021,81.6357431,0
-1,23.32253,80.2254,Unnamed industrial feature,7733.44,23.3707702,80.1708336,0
-1,23.3615,80.35268,Unnamed industrial feature,18590.7,23.3707702,80.1708336,0
-1,23.37948,80.29482,Unnamed industrial feature,12692.15,23.3707702,80.1708336,0
-1,23.38293,80.2234,Unnamed industrial feature,5533.07,23.3707702,80.1708336,0
-1,23.39053,80.34817,Unnamed industrial feature,18232.64,23.3707702,80.1708336,0
-1,23.4966,80.42882,Unnamed industrial feature,14573.46,23.4764557,80.5700231,0
-1,23.58508,80.26384,Unnamed industrial feature,5839.02,23.5986973,80.2084994,0
-1,23.67393,80.64802,Birla White Cement,742.35,23.6803036,80.6501895,2
-1,23.75765,80.42551,Unnamed industrial feature,4914.8,23.8013056,80.4330662,1
-1,23.77306,80.60754,Unnamed industrial feature,7506.13,23.7272598,80.5533617,0
-1,23.93682,80.47633,Unnamed industrial feature,4709.32,23.9752435,80.4568374,1
-1,24.08977,80.57184,Unnamed industrial feature,5636.17,24.0535784,80.6107077,0
70,21.193990714285714,81.20967607142858,Unnamed industrial feature,390.99,21.1936438,81.2059231,2
-1,21.21933,81.38766,Unnamed industrial feature,863.89,21.2270842,81.387143,14
