cluster_id,detection_count,first_seen,last_seen,centroid_lat,centroid_lon,nearest_industrial_distance_m,nearest_industrial_type,months_active,recurrence_rate,frp_mean,frp_std,frp_cv
10,164,2025-09-01 19:37:00,2026-07-29 19:38:00,21.98495646341464,83.23297554878049,2904.801377502208,man_made=kiln,11.033333333333331,14.86404833836858,1.5429268292682927,0.944088469137285,0.6118815560327012
11,248,2025-09-13 20:52:00,2026-08-22 20:27:00,22.005290927419352,82.66923274193549,25366.951025144383,power=generator,11.4,21.75438596491228,1.9651209677419357,1.0468924447982126,0.5327368960910162
12,478,2025-09-01 19:37:00,2026-08-12 20:17:00,22.0363859414226,83.35570451882845,1094.685039009772,landuse=industrial,11.5,41.56521739130435,1.7235983263598327,0.9471090414694876,0.5494952199621487
13,482,2025-10-10 20:46:00,2026-08-22 20:27:00,22.31689147302905,82.5317620539419,2383.347809785116,landuse=industrial,10.5,45.90476190476191,1.7666804979253112,1.0490553009852834,0.593800238479586
14,140,2025-08-31 19:56:00,2026-08-01 20:21:00,22.33174192857143,82.60500714285713,8030.805873275101,landuse=industrial,11.166666666666666,12.537313432835822,1.7755714285714286,1.10041605697953,0.6197531900278953
15,26,2025-11-19 19:57:00,2026-07-11 20:14:00,22.331736153846155,82.5321746153846,793.2503365191167,landuse=industrial,7.8,3.333333333333333,0.925,0.3638818489564985,0.39338578265567403
16,688,2025-08-31 19:56:00,2026-08-01 20:19:00,23.16630988372093,82.33861888081395,72580.005307312,man_made=kiln,11.166666666666666,61.61194029850746,3.062936046511628,1.8958816429448795,0.6189752623480649
17,41,2025-10-11 20:26:00,2026-07-11 20:14:00,24.05375,80.61308829268293,250750.6187116413,landuse=industrial,9.066666666666666,4.522058823529412,1.0575609756097561,0.2854013006960977,0.2698674660641145
18,113,2025-10-03 19:38:00,2026-08-28 20:17:00,17.956811769911504,80.78791256637169,176833.03669749098,landuse=industrial,10.966666666666669,10.303951367781156,2.1223008849557523,1.5270092202275412,0.7195064710437501
19,428,2025-09-04 20:22:00,2026-08-11 20:34:00,19.09995551401869,82.16712502336449,1274.6260329538152,landuse=industrial,11.366666666666667,37.65395894428152,2.2970093457943928,1.419880731840706,0.6181432106231407
20,64,2025-09-21 07:33:00,2026-08-25 19:32:00,21.195115,81.41573296874999,5348.050874772984,man_made=works,11.266666666666667,5.680473372781065,3.91203125,4.024046443169575,1.0286335118538674
21,104,2025-10-10 20:46:00,2026-08-02 20:02:00,21.80247336538461,82.03911067307693,19399.815386113423,power=plant,9.833333333333334,10.576271186440678,1.426346153846154,0.7421525471801834,0.5203172772464546
22,18,2025-12-12 19:27:00,2026-08-02 20:04:00,17.969715,83.15171611111111,161535.03900662548,landuse=industrial,7.766666666666667,2.3175965665236054,1.155,0.4621974368040517,0.4001709409558889
23,28,2025-11-13 20:09:00,2026-07-24 19:30:00,21.32254785714285,81.57815107142858,6099.032622528014,man_made=works,8.4,3.333333333333333,0.7732142857142856,0.5749270715196297,0.7435546421500986
24,35,2025-10-13 19:49:00,2026-07-24 19:30:00,21.940521142857143,81.98117457142857,12883.48038625674,power=plant,9.433333333333334,3.710247349823321,0.7694285714285715,0.2388076121698219,0.31037008636998764
25,359,2025-09-04 20:21:00,2026-08-25 21:12:00,21.186994679665737,81.3881225626741,3692.9166190141377,man_made=works,11.833333333333334,30.338028169014084,2.1225348189415043,1.3054836999454884,0.6150587911658031
26,101,2025-09-24 20:46:00,2026-07-26 20:34:00,21.876680693069307,83.49505663366337,7213.006496707813,man_made=works,10.133333333333333,9.967105263157896,1.2884158415841584,0.8084735402884465,0.6274942562755176
27,166,2025-09-01 19:37:00,2026-07-31 20:40:00,21.879728253012047,83.55263259036145,11749.872758537374,man_made=works,11.1,14.954954954954957,1.271867469879518,0.5444481280595052,0.42806985865522595
28,569,2025-09-01 19:37:00,2026-08-26 08:24:00,21.922739138840072,83.34776789103691,10916.187232234854,man_made=works,11.933333333333334,47.68156424581006,2.893462214411248,1.4571051511627724,0.5035853393576316
29,365,2025-09-10 07:40:00,2026-08-12 07:46:00,21.6791614520548,84.03864994520548,50742.54376139495,landuse=industrial,11.2,32.589285714285715,2.3087397260273974,1.4506951916974877,0.6283493870457499
30,157,2025-10-10 20:46:00,2026-07-30 20:57:00,21.34643675159236,81.66661458598726,8725.557282262464,landuse=industrial,9.766666666666667,16.07508532423208,1.327515923566879,0.8097036938659717,0.6099389690862564
31,10,2025-12-31 20:10:00,2026-07-30 20:57:00,21.605188,81.824009,22154.080943642683,power=generator,7.033333333333333,1.4218009478672986,0.6970000000000001,0.18821087464153965,0.2700299492705016
32,1341,2025-08-31 19:56:00,2026-08-22 20:27:00,22.03915821029083,83.73498888888889,30875.952428568704,man_made=works,11.866666666666667,113.00561797752808,4.308724832214765,3.297492887465099,0.7653059816702488
33,147,2025-09-01 19:37:00,2026-08-12 20:17:00,22.08812034013605,83.11716462585034,16393.419378499206,man_made=kiln,11.5,12.782608695652174,2.1979591836734698,1.7422717569411914,0.792677029620412
34,10,2025-12-29 20:48:00,2026-07-31 20:40:00,22.106324,83.124868,17446.751035872076,man_made=kiln,7.1,1.4084507042253522,1.506,0.9661745873978125,0.6415501908352008
35,33,2025-10-12 20:08:00,2026-08-01 20:21:00,21.19043333333333,81.19855151515152,2260.8721667374944,landuse=industrial,9.766666666666667,3.3788395904436856,0.8781818181818182,0.3103773363328755,0.35343174944737377
36,52,2025-09-10 20:09:00,2026-08-01 20:21:00,21.55902057692308,81.7512748076923,15140.72710757808,power=generator,10.833333333333334,4.8,1.1992307692307693,1.500623198846747,1.2513214615142856
37,22,2025-11-29 20:10:00,2026-08-01 20:21:00,21.631278181818185,82.11204909090908,35992.78076384434,landuse=industrial,8.166666666666666,2.6938775510204085,0.8781818181818182,0.3229866039332689,0.3677901287024801
38,71,2025-09-13 20:52:00,2026-08-01 20:21:00,21.73199605633803,82.21340774647888,22148.57137585383,landuse=industrial,10.7,6.635514018691589,1.2938028169014084,0.37665204176186323,0.2911201280763367
39,14,2025-10-24 19:44:00,2026-08-02 20:04:00,18.541581428571423,83.34227214285714,137055.28322740085,landuse=industrial,9.4,1.4893617021276595,1.0871428571428572,0.450152599278692,0.4140694080093093
40,727,2025-09-10 20:09:00,2026-08-20 19:25:00,21.763732640990373,84.02072331499312,48319.5304370128,landuse=industrial,11.433333333333334,63.58600583090379,2.300770288858322,1.2165843033963173,0.5287726068472508
41,101,2025-10-12 20:08:00,2026-08-09 19:32:00,22.065603960396043,83.70470861386138,28862.85611322262,landuse=industrial,10.0,10.1,1.2377227722772277,0.6773785960423001,0.5472781233523103
42,34,2025-11-11 20:47:00,2026-08-10 20:51:00,21.49901382352941,81.80903470588235,12274.598535551677,power=generator,9.066666666666666,3.75,1.0379411764705881,0.42291756780986334,0.4074581271049973
43,29,2025-10-10 20:46:00,2026-08-12 20:17:00,21.24594344827586,81.76963965517243,4070.477837609305,power=generator,10.166666666666666,2.8524590163934427,1.0724137931034483,0.37995916295997045,0.35430275645785025
44,26,2025-10-12 20:08:00,2026-08-12 20:17:00,21.294832307692307,81.59367038461538,8836.19107363804,man_made=works,10.133333333333333,2.5657894736842106,0.6184615384615384,0.16832569162649672,0.27216840685876337
45,25,2025-10-13 19:49:00,2026-08-12 20:17:00,21.9878672,82.0145192,9129.69475547098,power=plant,10.1,2.4752475247524752,0.5888,0.15551848764696757,0.2641278662482466
46,13,2025-11-13 20:09:00,2026-08-20 19:25:00,21.956322307692307,83.8063453846154,33924.40011988595,landuse=industrial,9.3,1.3978494623655913,1.7984615384615386,1.7748279078727895,0.9868589735819616
47,79,2025-09-01 19:37:00,2026-05-19 20:06:00,21.73438075949367,83.98092303797468,44112.394185785626,landuse=industrial,8.666666666666666,9.115384615384617,1.1277215189873417,0.5714577611128618,0.506736593645932
48,73,2025-09-10 20:08:00,2026-05-28 20:37:00,22.15533328767124,82.09415082191781,3206.535587131124,landuse=industrial,8.666666666666666,8.423076923076923,0.8816438356164383,0.3230970515470809,0.3664711740667636
49,214,2025-09-10 20:09:00,2026-05-31 19:41:00,21.776693831775702,83.82989070093458,28891.68701007762,landuse=industrial,8.733333333333333,24.503816793893133,1.9120093457943925,1.3055638178738536,0.6828229269619098
50,36,2025-09-13 20:52:00,2026-04-10 08:08:00,21.45912361111111,81.80087722222223,8844.621953505699,power=generator,6.933333333333334,5.1923076923076925,1.1405555555555555,1.7242289281952663,1.5117447982228345
51,28,2025-09-20 20:21:00,2026-05-18 20:24:00,24.010894285714283,80.52936535714286,251870.78695054725,landuse=industrial,8.0,3.5,0.8321428571428572,0.2364295704833509,0.2841213722546706
52,7,2025-09-20 20:22:00,2026-04-01 20:06:00,18.37495714285714,83.46521857142857,157214.3387004113,landuse=industrial,6.4,1.09375,0.39571428571428574,0.13302344941865737,0.3361603414911919
53,66,2025-09-21 20:02:00,2026-05-19 20:06:00,21.859255606060607,83.9660940909091,43678.78079700627,landuse=industrial,8.0,8.25,1.2506060606060607,0.7027175355232957,0.5619015912834688
54,93,2025-09-24 20:46:00,2026-05-19 20:06:00,21.750508494623656,83.8163676344086,26885.31888917224,landuse=industrial,7.866666666666666,11.822033898305085,1.8621505376344087,1.192500888216209,0.6403890899879168
55,62,2025-10-10 20:46:00,2026-05-19 20:06:00,21.21460870967742,82.1357814516129,37154.22080759266,landuse=industrial,7.333333333333333,8.454545454545455,1.0541935483870968,0.7830657455954176,0.7428102237900228
56,57,2025-10-10 20:46:00,2026-05-01 20:43:00,21.84179719298245,83.98124140350878,44943.48186578904,landuse=industrial,6.733333333333333,8.465346534653465,1.0275438596491229,0.3637713209350582,0.3540202372084398
57,131,2025-10-11 20:27:00,2026-05-29 07:50:00,21.75067717557252,83.97459251908397,43388.38752025973,landuse=industrial,7.633333333333334,17.161572052401745,2.1314503816793895,1.7108167739584346,0.802653812006858
58,6,2025-10-11 20:27:00,2026-02-07 19:58:00,22.174691666666664,83.50222833333333,18411.27422765977,landuse=industrial,3.933333333333333,1.5254237288135597,1.1166666666666667,0.46293268049109093,0.4145665795442605
59,15,2025-10-12 20:08:00,2026-03-22 19:53:00,21.24072333333333,81.38530266666666,3459.9699190244246,man_made=works,5.333333333333333,2.8125,0.8766666666666667,0.22362809262148578,0.2550890790359153
60,24,2025-10-12 20:08:00,2026-04-11 20:18:00,21.375570416666665,81.65203708333333,7371.863410370591,landuse=industrial,6.033333333333333,3.977900552486188,1.31375,0.4506016509358205,0.34298888748682815
61,29,2025-10-12 20:08:00,2026-05-29 20:19:00,21.57682103448276,82.0226096551724,33688.450765567344,landuse=industrial,7.633333333333334,3.799126637554585,1.6675862068965517,1.1381835628140564,0.6825335674443267
62,38,2025-10-12 20:08:00,2026-04-22 20:12:00,21.71526105263158,84.04084815789473,50236.09067348397,landuse=industrial,6.4,5.9375,1.2681578947368422,2.055018715326309,1.620475434372271
63,84,2025-10-12 20:08:00,2026-05-31 19:41:00,21.821396904761905,83.99543904761904,45756.68175029303,landuse=industrial,7.666666666666667,10.956521739130434,1.2086904761904762,0.7545712574427988,0.6242882460868227
64,36,2025-10-14 19:30:00,2026-04-20 20:49:00,22.01869361111111,82.17886194444445,4717.736806841749,landuse=industrial,6.266666666666667,5.74468085106383,0.9958333333333333,0.31205654249556397,0.31336221840558726
65,20,2025-10-20 19:18:00,2026-05-01 20:43:00,21.9004905,83.98156900000001,46279.28837741975,landuse=industrial,6.433333333333334,3.1088082901554404,0.7424999999999999,0.21070995280367352,0.28378444822043575
66,31,2025-10-21 20:40:00,2026-05-19 20:06:00,21.795295161290323,83.98847451612903,44831.80260374915,landuse=industrial,6.966666666666667,4.44976076555024,0.9541935483870968,0.4560539017378566,0.4779469558442716
67,36,2025-10-21 20:40:00,2026-05-31 19:41:00,21.801769166666663,83.88391638888889,34109.67671688946,landuse=industrial,7.366666666666666,4.886877828054299,1.6736111111111112,1.02782475654108,0.6141359541158321
