latitude,longitude,bright_ti4,scan,track,confidence,version,bright_ti5,frp,daynight,type,acq_DateTime,x_m,y_m,cluster_id,centroid_lat,centroid_lon,detection_count
21.19331,81.41738,311.72,0.4,0.6,n,2.0NRT,267.23,1.67,N,,2026-07-13 19:36:00,-80127.37539343932,2353781.8148442577,20,21.195115,81.41573296874999,64.0
21.19367,81.41359,297.0,0.4,0.6,n,2.0NRT,266.26,1.25,N,,2026-07-13 19:36:00,-80520.7345565334,2353835.7542829867,20,21.195115,81.41573296874999,64.0
21.80292,82.03979,295.77,0.37,0.58,n,2.0NRT,275.38,0.73,N,,2026-07-13 19:36:00,-13168.808638678107,2419277.7290656506,21,21.802473365384614,82.03911067307693,104.0
22.31849,82.57055,300.68,0.35,0.56,n,2.0NRT,280.07,1.32,N,,2026-07-13 19:36:00,43490.60095787817,2474790.365428652,13,22.31689147302905,82.5317620539419,482.0
22.33063,82.60566,297.94,0.34,0.56,n,2.0NRT,275.52,1.29,N,,2026-07-13 19:36:00,47153.534868305724,2476030.8059990304,14,22.33174192857143,82.60500714285713,140.0
22.33218,82.60658,296.96,0.34,0.56,n,2.0NRT,274.38,0.82,N,,2026-07-13 19:36:00,47253.495368419215,2476199.9659780557,14,22.33174192857143,82.60500714285713,140.0
22.35853,82.30383,330.35,0.45,0.63,n,2.0NRT,285.25,4.41,D,,2026-07-14 08:30:00,16097.65725764702,2480067.498527024,8,22.35903025735294,82.30251974264706,272.0
17.96957,83.15248,301.69,0.44,0.46,n,2.0NRT,281.72,0.77,N,,2026-07-18 19:45:00,92371.88846436574,1991045.8635027944,22,17.969715,83.15171611111111,18.0
17.85728,83.18861,304.45,0.45,0.63,n,2.0NRT,278.52,1.37,N,,2026-07-19 19:25:00,95949.30523060384,1978521.035817673,-1,17.85728,83.18861,
21.31614,81.5776,296.12,0.49,0.65,n,2.0NRT,284.69,1.74,N,,2026-07-24 19:30:00,-62970.921382477856,2366840.2507537734,23,21.322547857142858,81.57815107142858,28.0
21.48586,81.76777,304.96,0.48,0.65,n,2.0NRT,283.6,2.05,N,,2026-07-24 19:30:00,-42555.792402550695,2385011.777441916,5,21.487758636363637,81.76802333333333,132.0
21.80207,82.04038,303.14,0.47,0.64,n,2.0NRT,281.58,1.18,N,,2026-07-24 19:30:00,-13110.698379358917,2419181.4197502667,21,21.802473365384614,82.03911067307693,104.0
21.94098,81.98135,303.11,0.47,0.64,n,2.0NRT,285.44,0.72,N,,2026-07-24 19:30:00,-18724.72564493213,2434797.917703558,24,21.940521142857143,81.98117457142857,35.0
21.18369,81.38795,304.68,0.32,0.55,n,2.0NRT,274.87,2.33,N,,2026-07-25 20:51:00,-83230.85679881554,2352821.930193233,25,21.186994679665737,81.3881225626741,359.0
21.18798,81.39221,304.96,0.32,0.55,n,2.0NRT,273.87,1.9,N,,2026-07-25 20:51:00,-82770.17522896826,2353282.669180946,25,21.186994679665737,81.3881225626741,359.0
23.16376,82.33923,299.82,0.34,0.56,n,2.0NRT,268.4,1.06,N,,2026-07-25 20:51:00,22569.24603032024,2569298.099164843,16,23.16630988372093,82.33861888081395,688.0
23.16449,82.33588,298.87,0.34,0.56,n,2.0NRT,267.47,0.8,N,,2026-07-25 20:51:00,22228.157781200658,2569390.124051269,16,23.16630988372093,82.33861888081395,688.0
