cluster_id,detection_count,first_seen,last_seen,centroid_lat,centroid_lon,nearest_industrial_distance_m,nearest_industrial_type,months_active,recurrence_rate,frp_mean,frp_std,frp_cv,day_count,night_count,daynight_ratio,industrial_score,wildfire_score,label
59,23,2025-09-27 19:49:00,2026-05-15 19:40:00,21.795168260869563,83.98869043478261,586.7401666685546,landuse=industrial,7.633333333333334,3.0131004366812224,0.8766666666666667,0.2236280926214857,0.2550890790359153,0,23,0.0,3,2,uncertain
60,51,2025-09-27 19:50:00,2026-05-13 20:18:00,21.71655705882353,84.04197607843136,227.8169394741115,landuse=industrial,7.6,6.710526315789474,1.31375,0.4506016509358205,0.3429888874868281,11,40,0.2156862745098039,3,0,uncertain
61,74,2025-10-15 19:11:00,2026-04-23 19:53:00,21.84184864864865,83.98129081081082,425.30415725087806,landuse=industrial,6.333333333333333,11.68421052631579,1.6675862068965517,1.1381835628140564,0.6825335674443267,0,74,0.0,3,1,uncertain
62,137,2025-10-15 20:52:00,2026-05-24 20:12:00,21.750332408759125,83.97448262773722,2497.41567045871,landuse=quarry,7.333333333333333,18.681818181818183,1.2681578947368422,2.055018715326309,1.620475434372271,11,126,0.0802919708029197,2,1,uncertain
63,52,2025-10-16 20:33:00,2026-04-22 20:12:00,22.019103653846155,83.33757769230769,1818.269463288257,landuse=industrial,6.233333333333333,8.342245989304812,1.2086904761904762,0.7545712574427988,0.6242882460868227,0,52,0.0,1,1,uncertain
64,5,2025-10-17 20:15:00,2026-02-12 20:05:00,21.384928,81.68829600000001,1326.347432573908,landuse=industrial,3.9,1.2820512820512822,0.9958333333333332,0.3120565424955639,0.3133622184055872,0,5,0.0,2,3,uncertain
65,95,2025-10-18 19:56:00,2026-05-23 20:31:00,21.82144831578947,83.99539547368421,387.00928850730486,landuse=industrial,7.233333333333333,13.133640552995391,0.7424999999999999,0.2107099528036735,0.2837844482204357,0,95,0.0,4,1,uncertain
66,21,2025-10-24 19:43:00,2026-03-03 08:20:00,22.10708904761905,83.52368095238096,284.42341246514115,landuse=industrial,4.3,4.883720930232558,0.9541935483870968,0.4560539017378566,0.4779469558442716,1,20,0.0476190476190476,3,2,uncertain
67,6,2025-11-03 07:27:00,2026-02-12 07:36:00,20.122306666666667,83.23021666666666,303.7705418826798,landuse=industrial,3.3666666666666667,1.7821782178217822,1.6736111111111112,1.02782475654108,0.6141359541158321,6,0,1.0,2,3,uncertain
68,39,2025-11-03 19:56:00,2026-04-04 20:49:00,21.458989487179487,81.80049282051282,2047.5546814182785,landuse=industrial,5.066666666666666,7.697368421052632,1.0076470588235291,0.2855092082952674,0.2833424717466168,0,39,0.0,2,1,uncertain
69,10,2025-11-03 19:57:00,2026-03-17 19:47:00,19.333853,83.42849100000001,480.570189524472,landuse=industrial,4.433333333333334,2.255639097744361,0.9586363636363636,0.4539418613992935,0.4735287316635589,0,10,0.0,3,3,uncertain
70,28,2025-11-07 20:22:00,2026-05-12 20:37:00,21.193990714285714,81.20967607142858,310.1415925230729,landuse=industrial,6.2,4.516129032258064,0.48,0.1147170431975999,0.2389938399949998,0,28,0.0,3,2,uncertain
71,5,2025-11-13 07:40:00,2026-02-21 08:07:00,21.15474,81.17236199999999,282.32712414447406,power=plant,3.333333333333333,1.5,1.0072222222222222,0.6961812268752977,0.6911893041232962,3,2,0.6,2,2,uncertain
72,24,2025-11-13 20:09:00,2026-05-13 20:18:00,21.576925,82.02252416666666,197.4440932128313,landuse=industrial,6.033333333333333,3.977900552486188,1.176842105263158,0.5085715576394007,0.4321493557758771,0,24,0.0,4,2,uncertain
73,13,2025-11-13 20:09:00,2026-04-26 20:37:00,21.57450615384615,81.73447384615385,2977.977681290407,landuse=industrial,5.466666666666667,2.3780487804878048,1.6435227272727273,0.9555404558133188,0.5813977744006917,0,13,0.0,2,3,uncertain
74,27,2025-11-13 20:09:00,2026-05-13 20:18:00,21.698744444444444,84.03175481481482,366.834162683917,landuse=industrial,6.033333333333333,4.475138121546961,7.062,2.211497230384881,0.313154521436545,1,26,0.037037037037037,3,2,uncertain
75,7,2025-11-13 20:09:00,2026-01-24 19:20:00,22.00987571428572,83.32781571428572,599.5102335096393,landuse=industrial,2.3666666666666667,2.9577464788732395,1.2133333333333334,0.7233774948116647,0.5961902429766467,0,7,0.0,3,3,uncertain
76,11,2025-11-13 20:09:00,2026-03-04 20:30:00,22.024102727272727,83.30734181818183,597.1425415651421,landuse=industrial,3.7,2.972972972972973,0.8603846153846154,0.2392067017327193,0.278022988156044,0,11,0.0,3,3,uncertain
77,8,2025-11-13 20:09:00,2026-04-06 20:12:00,22.07173,83.34854125,1460.5785099571265,landuse=industrial,4.8,1.6666666666666667,0.6892857142857143,0.2585132502002567,0.3750451298242067,0,8,0.0,2,3,uncertain
78,5,2025-11-14 07:22:00,2025-11-27 08:19:00,21.761024,81.579604,18545.73491335325,power=plant,1.0,5.0,0.7470000000000001,0.2270609316167506,0.3039637638778454,5,0,1.0,1,4,wildfire
79,29,2025-11-14 19:50:00,2026-04-26 20:37:00,22.32400827586207,82.6734224137931,808.1718835685243,landuse=quarry,5.433333333333334,5.337423312883435,0.51,0.1437590576856521,0.2818805052659845,0,29,0.0,3,2,uncertain
80,9,2025-11-14 07:22:00,2026-04-02 19:46:00,23.43904666666667,80.23849000000001,8951.967652529098,landuse=industrial,4.633333333333334,1.9424460431654675,0.4939999999999999,0.2002331973807873,0.4053303590704196,8,1,0.8888888888888888,1,3,uncertain
81,3,2025-11-13 07:41:00,2025-11-23 07:54:00,23.430126666666663,80.23687,8634.23677919021,landuse=industrial,1.0,3.0,1.61,0.7687002016391046,0.4774535413907481,3,0,1.0,1,4,wildfire
82,5,2025-11-16 08:25:00,2025-12-03 08:07:00,23.443044,80.20560800000001,5403.318837243789,landuse=industrial,1.0,5.0,2.94,2.5205852495006,0.8573419215988434,5,0,1.0,0,3,uncertain
83,7,2025-11-23 07:53:00,2026-04-14 06:53:00,21.442894285714285,81.21624142857142,8218.056599526288,landuse=industrial,4.7,1.4893617021276595,0.820909090909091,1.290995387640518,1.5726411145122587,7,0,1.0,0,4,wildfire
84,5,2025-11-23 07:53:00,2026-04-13 07:12:00,21.741962,81.46355000000001,27058.3155762032,power=plant,4.666666666666667,1.0714285714285714,0.8240000000000001,0.2300652081476031,0.2792053496936931,5,0,1.0,1,5,wildfire
