cluster_id,detection_count,first_seen,last_seen,centroid_lat,centroid_lon,nearest_industrial_distance_m,nearest_industrial_type,industrial_count_5km,months_active,recurrence_rate,frp_mean,frp_std,frp_cv,day_count,night_count,daynight_ratio
23,37,2025-10-17 20:14:00,2026-07-24 19:30:00,21.94000621621621,81.9812464864865,4198.708258439548,landuse=quarry,2,9.3,3.9784946236559136,0.7705405405405406,0.2065852789466797,0.2681043606112644,0,37,0.0
24,341,2025-09-04 20:21:00,2026-08-25 21:12:00,21.186550938416424,81.38758909090909,99.08107499408626,man_made=works,8,11.833333333333334,28.816901408450704,2.2739882697947214,1.18121992766337,0.519448558004216,5,336,0.01466275659824047
25,83,2025-09-05 20:02:00,2026-07-26 20:34:00,21.87683361445783,83.49469445783132,98.11131981361606,landuse=industrial,2,10.8,7.685185185185185,1.1848192771084338,0.692944163177956,0.5848522019907499,1,82,0.012048192771084338
26,150,2025-09-05 20:02:00,2026-07-31 20:40:00,21.8794364,83.55273293333333,148.1873444127531,landuse=industrial,2,10.966666666666669,13.677811550151976,1.272333333333333,0.8066788460263467,0.6340153361485564,2,148,0.013333333333333334
27,600,2025-09-05 20:02:00,2026-08-26 08:24:00,21.922663816666667,83.34778976666666,818.9517813539323,landuse=industrial,4,11.8,50.84745762711864,2.9682166666666667,1.616263334050865,0.5445233672466178,75,525,0.125
28,359,2025-09-06 19:43:00,2026-08-12 07:46:00,21.679071364902505,84.03850323119777,587.1345503440656,landuse=industrial,5,11.3,31.769911504424776,2.2960445682451254,1.326783592722919,0.5778562015183286,30,329,0.08356545961002786
29,169,2025-09-05 20:03:00,2026-07-30 20:57:00,21.34680408284024,81.66660923076923,981.9366292460436,landuse=industrial,15,10.933333333333334,15.457317073170731,1.4239644970414205,0.8284942013008784,0.5818222315389505,6,163,0.03550295857988166
30,7,2026-01-02 19:33:00,2026-07-30 20:57:00,21.605545714285714,81.82321714285715,5662.514656296822,landuse=quarry,0,6.966666666666667,1.0047846889952152,0.7285714285714285,0.1582643960201379,0.2172256415962677,0,7,0.0
31,1159,2025-09-05 07:34:00,2026-07-31 20:40:00,22.041284849007763,83.73296673856773,2370.159466897239,landuse=quarry,2,10.966666666666669,105.6838905775076,4.686272648835203,3.4327680459870966,0.7325156479831212,255,904,0.2200172562553926
32,133,2025-09-06 19:43:00,2026-08-12 20:17:00,22.087874586466164,83.11691090225564,1026.2926234613485,landuse=quarry,1,11.333333333333334,11.735294117647058,1.94218045112782,1.507531766762069,0.7762058185101434,19,114,0.14285714285714285
33,14,2026-01-03 20:54:00,2026-07-31 20:40:00,22.10685071428572,83.12439571428571,1728.1785170538508,landuse=quarry,1,6.933333333333334,2.019230769230769,1.0785714285714283,0.6015730295567695,0.5577498287281307,0,14,0.0
34,28,2025-11-07 20:22:00,2026-08-01 20:21:00,21.190774642857143,81.198385,741.0405032976439,landuse=industrial,5,8.866666666666667,3.1578947368421053,0.9017857142857144,0.2848138257597677,0.3158331533177623,0,28,0.0
35,49,2025-09-05 20:02:00,2026-08-01 20:21:00,21.55944,81.75155795918367,98.2457242455866,landuse=industrial,3,11.0,4.454545454545454,1.085714285714286,0.387352122321108,0.3567716916115468,0,49,0.0
36,18,2025-12-25 20:23:00,2026-08-01 20:21:00,21.631234444444445,82.11191888888888,203.5735332958121,landuse=industrial,2,7.266666666666667,2.477064220183486,0.8544444444444445,0.2378883134439408,0.2784128505845861,0,18,0.0
37,74,2025-09-08 20:46:00,2026-08-01 20:21:00,21.73183189189189,82.21332324324325,57.98617469489116,landuse=industrial,2,10.866666666666667,6.809815950920245,1.1994594594594594,0.3453721117783315,0.287939795759312,0,74,0.0
38,21,2025-10-24 19:44:00,2026-08-02 20:04:00,18.54149380952381,83.34153904761904,1016.3319334048944,landuse=quarry,4,9.4,2.234042553191489,1.1995238095238097,0.5821295061279422,0.4853005013373079,0,21,0.0
39,746,2025-09-06 19:43:00,2026-08-20 19:25:00,21.763727131367293,84.02066849865952,415.5696377210002,landuse=industrial,9,11.566666666666666,64.49567723342939,2.227198391420912,1.1239998355812475,0.5046698309009447,18,728,0.024128686327077747
40,5,2026-01-12 19:45:00,2026-08-09 19:32:00,21.971846,83.20014,3563.3534865808024,landuse=industrial,3,6.933333333333334,0.7211538461538461,0.732,0.1792205345377588,0.2448367958166104,0,5,0.0
41,102,2025-09-18 19:18:00,2026-08-09 19:32:00,22.066069607843136,83.70435509803923,2048.6332498862453,landuse=quarry,1,10.833333333333334,9.415384615384616,1.062549019607843,0.4557958685759563,0.4289645561427159,0,102,0.0
42,27,2026-02-14 19:27:00,2026-08-10 20:51:00,21.50192851851852,81.80917481481482,1185.6600595784582,landuse=industrial,9,5.9,4.576271186440677,1.425185185185185,1.0890411109368376,0.7641400726427915,0,27,0.0
43,33,2025-09-05 20:03:00,2026-08-12 20:17:00,21.246028181818183,81.76971303030302,129.24669233835408,landuse=industrial,9,11.366666666666667,2.903225806451613,1.0215151515151517,0.5077531462982358,0.4970588498321501,0,33,0.0
44,25,2025-09-25 20:27:00,2026-08-12 20:17:00,21.295054,81.593654,283.1435145161024,landuse=industrial,8,10.666666666666666,2.34375,0.6252,0.2144978632372204,0.3430867934056629,0,25,0.0
45,31,2025-10-14 19:30:00,2026-08-12 20:17:00,21.98786612903225,82.01448451612903,1896.324690883316,landuse=quarry,10,10.066666666666666,3.0794701986754967,0.6448387096774193,0.2214478263269843,0.3434158387261888,0,31,0.0
46,15,2025-11-13 20:09:00,2026-08-20 19:25:00,21.955196666666662,83.80623399999999,1960.934064481312,landuse=quarry,1,9.3,1.6129032258064515,0.978,0.5663063280088411,0.5790453251624141,0,15,0.0
